source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,minDiscoverableChange,RelativePower,subject,age,gender,handed
5,4,hbr,0,open_phys_03,-2.13919181027789,2.80179163117618,-0.763508530211388,25917.770308397,0.44516712686885,0.917870364678042,6.96678805846827,0.587440995610915,672,,,
5,6,hbo,0,open_phys_03,-7.26627675573611,12.1430365892812,-0.598390419258899,25917.770308397,0.549584686163859,1,30.1942376308097,0.135541654116839,672,,,
5,6,hbr,0,open_phys_03,-6.72451682447615,3.83761771763884,-1.75226333607129,25917.770308397,0.0797403619818886,0.403748668262727,9.54241885467728,0.428882548083795,672,,,
6,4,hbo,0,open_phys_03,-12.2738775732663,9.53229198699756,-1.28761032393976,25917.770308397,0.197893140918466,0.646181684631725,23.7024970900384,0.172664377838774,672,,,
6,4,hbr,0,open_phys_03,-4.74987999254329,2.6350681225595,-1.80256440123059,25917.770308397,0.0714682644248105,0.372473039347547,6.55222213002019,0.62460900013233,672,,,
6,6,hbo,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
6,6,hbr,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
6,7,hbo,0,open_phys_03,3.8153992343373,20.007162702914,0.190701664748375,25917.770308397,0.848760828008832,1,49.7487609897599,0.0822649013132053,672,,,
6,7,hbr,0,open_phys_03,-14.5843125354759,13.2993623886352,-1.09661742490292,25917.770308397,0.272818855990503,0.737348259433791,33.0694966904054,0.123756855194722,672,,,
7,5,hbo,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
7,5,hbr,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
7,7,hbo,0,open_phys_03,35.8172901792769,21.1343776022041,1.69474071361068,25917.770308397,0.0901366317849714,0.438354440291654,52.5516344127222,0.0778772527060751,672,,,
7,7,hbr,0,open_phys_03,2.4509795355593,4.23211153620012,0.579138691075225,25917.770308397,0.562500628205624,1,10.5233464845947,0.388904510487041,672,,,
8,6,hbo,0,open_phys_03,7.99544095367778,17.9929142422012,0.444366090231509,25917.770308397,0.656781635971864,1,44.7402364561237,0.0914741905150721,672,,,
8,6,hbr,0,open_phys_03,14.697549519539,9.17208634705698,1.60242162616087,25917.770308397,0.109074592031852,0.48884971218757,22.8068286459588,0.179445243212366,672,,,
8,7,hbo,0,open_phys_03,-4.29162393999806,14.9380804192132,-0.287294205116088,25917.770308397,0.773889356197494,1,37.1442469607653,0.110180640291341,672,,,
8,7,hbr,0,open_phys_03,10.593554666654,3.26331121241725,3.24625939026114,25917.770308397,0.00117080709994832,0.0216476119427449,8.1143784329851,0.504361109982304,672,,,
1,1,hbo,0,open_phys_04,31.9752406180648,15.2877928310916,2.09155376262262,25917.770308397,0.0364881614193165,0.254781084826333,38.0138234945312,0.107660228228965,672,,,
1,1,hbr,0,open_phys_04,-4.85237064045712,3.05812886625188,-1.58671228475872,25917.770308397,0.112590021895381,0.494163921257078,7.60418277704571,0.538200755198948,672,,,
1,2,hbo,0,open_phys_04,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
1,2,hbr,0,open_phys_04,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
2,1,hbo,0,open_phys_04,19.2182026487906,17.4234309831031,1.1030090839989,25917.770308397,0.270033461774535,0.733537417384136,43.3241892651637,0.094464016123381,672,,,
2,1,hbr,0,open_phys_04,11.0431063842772,6.88642326163859,1.60360552419044,25917.770308397,0.108813217429058,0.48884971218757,17.1234187478109,0.239004662185234,672,,,
2,3,hbo,0,open_phys_04,22.5860743227579,19.3409458869658,1.16778540484822,25917.770308397,0.242904079378776,0.706336714700419,48.0921812120017,0.0850985921232349,672,,,
2,3,hbr,0,open_phys_04,-7.65099924630563,7.81922628027971,-0.978485462890574,25917.770308397,0.32784341077723,0.793785740275746,19.4428777892543,0.210492343655975,672,,,
